source,target,relation,subject,weight
N02826,N02759,part_of,计算机组成原理,1.0
N02827,N02759,part_of,计算机组成原理,1.0
N02828,N02759,part_of,计算机组成原理,1.0
N02829,N02759,part_of,计算机组成原理,1.0
N02830,N02759,part_of,计算机组成原理,1.0
N02831,N02759,part_of,计算机组成原理,1.0
N02832,N02759,part_of,计算机组成原理,1.0
N02833,N02759,part_of,计算机组成原理,1.0
N02834,N02759,part_of,计算机组成原理,1.0
N02835,N02759,part_of,计算机组成原理,1.0
N02836,N02759,part_of,计算机组成原理,1.0
N02837,N02759,part_of,计算机组成原理,1.0
N02838,N02759,part_of,计算机组成原理,1.0
N02839,N02759,part_of,计算机组成原理,1.0
N02840,N02434,part_of,计算机组成原理,1.0
N02841,N02840,part_of,计算机组成原理,1.0
N02842,N02840,part_of,计算机组成原理,1.0
N02843,N02840,part_of,计算机组成原理,1.0
N02844,N02840,part_of,计算机组成原理,1.0
N02845,N02840,part_of,计算机组成原理,1.0
N02846,N02840,part_of,计算机组成原理,1.0
N02847,N02840,part_of,计算机组成原理,1.0
N02848,N02840,part_of,计算机组成原理,1.0
N02849,N02840,part_of,计算机组成原理,1.0
N02850,N02840,part_of,计算机组成原理,1.0
N02851,N02840,part_of,计算机组成原理,1.0
N02852,N02840,part_of,计算机组成原理,1.0
N02853,N02840,part_of,计算机组成原理,1.0
N02854,N02840,part_of,计算机组成原理,1.0
N02855,N02840,part_of,计算机组成原理,1.0
N02856,N02840,part_of,计算机组成原理,1.0
N02857,N02840,part_of,计算机组成原理,1.0
N02858,N02840,part_of,计算机组成原理,1.0
N02859,N02840,part_of,计算机组成原理,1.0
N02860,N02840,part_of,计算机组成原理,1.0
N02861,N02840,part_of,计算机组成原理,1.0
N02862,N02840,part_of,计算机组成原理,1.0
N02863,N02840,part_of,计算机组成原理,1.0
N02864,N02840,part_of,计算机组成原理,1.0
N02865,N02840,part_of,计算机组成原理,1.0
N02866,N02840,part_of,计算机组成原理,1.0
N02867,N02840,part_of,计算机组成原理,1.0
N02868,N02840,part_of,计算机组成原理,1.0
N02869,N02840,part_of,计算机组成原理,1.0
N02870,N02840,part_of,计算机组成原理,1.0
N02871,N02840,part_of,计算机组成原理,1.0
N02872,N02840,part_of,计算机组成原理,1.0
N02873,N02840,part_of,计算机组成原理,1.0
N02874,N02840,part_of,计算机组成原理,1.0
N02875,N02840,part_of,计算机组成原理,1.0
N02876,N02840,part_of,计算机组成原理,1.0
N02877,N02840,part_of,计算机组成原理,1.0
N02878,N02840,part_of,计算机组成原理,1.0
N02879,N02840,part_of,计算机组成原理,1.0
N02880,N02840,part_of,计算机组成原理,1.0
N02881,N02840,part_of,计算机组成原理,1.0
N02882,N02840,part_of,计算机组成原理,1.0
N02883,N02840,part_of,计算机组成原理,1.0
N02884,N02840,part_of,计算机组成原理,1.0
N02885,N02840,part_of,计算机组成原理,1.0
N02886,N02840,part_of,计算机组成原理,1.0
N02887,N02840,part_of,计算机组成原理,1.0
N02888,N02840,part_of,计算机组成原理,1.0
N02889,N02840,part_of,计算机组成原理,1.0
N02890,N02840,part_of,计算机组成原理,1.0
N02891,N02840,part_of,计算机组成原理,1.0
N02892,N02840,part_of,计算机组成原理,1.0
N02893,N02840,part_of,计算机组成原理,1.0
N02894,N02840,part_of,计算机组成原理,1.0
N02895,N02840,part_of,计算机组成原理,1.0
N02896,N02840,part_of,计算机组成原理,1.0
N02897,N02840,part_of,计算机组成原理,1.0
N02898,N02840,part_of,计算机组成原理,1.0
N02899,N02840,part_of,计算机组成原理,1.0
N02900,N02840,part_of,计算机组成原理,1.0
N02901,N02840,part_of,计算机组成原理,1.0
N02902,N02840,part_of,计算机组成原理,1.0
N02903,N02840,part_of,计算机组成原理,1.0
N02904,N02840,part_of,计算机组成原理,1.0
N02905,N02840,part_of,计算机组成原理,1.0
N02906,N02840,part_of,计算机组成原理,1.0
N02907,N02840,part_of,计算机组成原理,1.0
N02908,N02840,part_of,计算机组成原理,1.0
N02909,N02840,part_of,计算机组成原理,1.0
N02910,N02840,part_of,计算机组成原理,1.0
N02911,N02840,part_of,计算机组成原理,1.0
N02912,N02840,part_of,计算机组成原理,1.0
N02913,N02840,part_of,计算机组成原理,1.0
N02914,N02840,part_of,计算机组成原理,1.0
N02915,N02840,part_of,计算机组成原理,1.0
N02916,N02840,part_of,计算机组成原理,1.0
N02917,N02840,part_of,计算机组成原理,1.0
N02918,N02840,part_of,计算机组成原理,1.0
N02919,N02840,part_of,计算机组成原理,1.0
N02920,N02840,part_of,计算机组成原理,1.0
N02921,N02434,part_of,计算机组成原理,1.0
N02922,N02921,part_of,计算机组成原理,1.0
N02923,N02921,part_of,计算机组成原理,1.0
N02924,N02921,part_of,计算机组成原理,1.0
N02925,N02921,part_of,计算机组成原理,1.0
N02926,N02921,part_of,计算机组成原理,1.0
N02927,N02921,part_of,计算机组成原理,1.0
N02928,N02921,part_of,计算机组成原理,1.0
N02929,N02921,part_of,计算机组成原理,1.0
N02930,N02921,part_of,计算机组成原理,1.0
N02931,N02921,part_of,计算机组成原理,1.0
N02932,N02921,part_of,计算机组成原理,1.0
N02933,N02921,part_of,计算机组成原理,1.0
N02934,N02921,part_of,计算机组成原理,1.0
N02935,N02921,part_of,计算机组成原理,1.0
N02936,N02921,part_of,计算机组成原理,1.0
N02937,N02921,part_of,计算机组成原理,1.0
N02938,N02921,part_of,计算机组成原理,1.0
N02939,N02921,part_of,计算机组成原理,1.0
N02940,N02921,part_of,计算机组成原理,1.0
N02941,N02921,part_of,计算机组成原理,1.0
N02942,N02921,part_of,计算机组成原理,1.0
N02943,N02921,part_of,计算机组成原理,1.0
N02944,N02921,part_of,计算机组成原理,1.0
N02945,N02921,part_of,计算机组成原理,1.0
N02946,N02921,part_of,计算机组成原理,1.0
N02947,N02921,part_of,计算机组成原理,1.0
N02948,N02921,part_of,计算机组成原理,1.0
N02949,N02921,part_of,计算机组成原理,1.0
N02950,N02921,part_of,计算机组成原理,1.0
N02951,N02921,part_of,计算机组成原理,1.0
N02952,N02921,part_of,计算机组成原理,1.0
N02953,N02921,part_of,计算机组成原理,1.0
N02954,N02921,part_of,计算机组成原理,1.0
N02955,N02921,part_of,计算机组成原理,1.0
N02956,N02921,part_of,计算机组成原理,1.0
N02957,N02921,part_of,计算机组成原理,1.0
N02958,N02921,part_of,计算机组成原理,1.0
N02959,N02921,part_of,计算机组成原理,1.0
N02960,N02921,part_of,计算机组成原理,1.0
N02961,N02921,part_of,计算机组成原理,1.0
N02962,N02921,part_of,计算机组成原理,1.0
N02963,N02921,part_of,计算机组成原理,1.0
N02964,N02921,part_of,计算机组成原理,1.0
N02965,N02921,part_of,计算机组成原理,1.0
N02966,N02921,part_of,计算机组成原理,1.0
N02967,N02921,part_of,计算机组成原理,1.0
N02968,N02921,part_of,计算机组成原理,1.0
N02969,N02921,part_of,计算机组成原理,1.0
N02970,N02921,part_of,计算机组成原理,1.0
N02971,N02921,part_of,计算机组成原理,1.0
N02972,N02921,part_of,计算机组成原理,1.0
N02973,N02921,part_of,计算机组成原理,1.0
N02974,N02921,part_of,计算机组成原理,1.0
N02975,N02921,part_of,计算机组成原理,1.0
N02976,N02921,part_of,计算机组成原理,1.0
N02977,N02921,part_of,计算机组成原理,1.0
N02978,N02921,part_of,计算机组成原理,1.0
N02979,N02921,part_of,计算机组成原理,1.0
N02980,N02921,part_of,计算机组成原理,1.0
N02981,N02921,part_of,计算机组成原理,1.0
N02982,N02921,part_of,计算机组成原理,1.0
N02983,N02921,part_of,计算机组成原理,1.0
N02984,N02921,part_of,计算机组成原理,1.0
N02985,N02921,part_of,计算机组成原理,1.0
N02986,N02921,part_of,计算机组成原理,1.0
N02987,N02921,part_of,计算机组成原理,1.0
N02988,N02921,part_of,计算机组成原理,1.0
N02989,N02921,part_of,计算机组成原理,1.0
N02990,N02921,part_of,计算机组成原理,1.0
N02991,N02921,part_of,计算机组成原理,1.0
N02992,N02921,part_of,计算机组成原理,1.0
N02993,N02921,part_of,计算机组成原理,1.0
N02994,N02921,part_of,计算机组成原理,1.0
N02995,N02921,part_of,计算机组成原理,1.0
N02996,N02921,part_of,计算机组成原理,1.0
N02997,N02921,part_of,计算机组成原理,1.0
N02998,N02921,part_of,计算机组成原理,1.0
N02999,N02921,part_of,计算机组成原理,1.0
N03000,N02921,part_of,计算机组成原理,1.0
N03001,N02921,part_of,计算机组成原理,1.0
N03002,N02434,part_of,计算机组成原理,1.0
N03003,N03002,part_of,计算机组成原理,1.0
N03004,N03002,part_of,计算机组成原理,1.0
N03005,N03002,part_of,计算机组成原理,1.0
N03006,N03002,part_of,计算机组成原理,1.0
N03007,N03002,part_of,计算机组成原理,1.0
N03008,N03002,part_of,计算机组成原理,1.0
N03009,N03002,part_of,计算机组成原理,1.0
N03010,N03002,part_of,计算机组成原理,1.0
N03011,N03002,part_of,计算机组成原理,1.0
N03012,N03002,part_of,计算机组成原理,1.0
N03013,N03002,part_of,计算机组成原理,1.0
N03014,N03002,part_of,计算机组成原理,1.0
N03015,N03002,part_of,计算机组成原理,1.0
N03016,N03002,part_of,计算机组成原理,1.0
N03017,N03002,part_of,计算机组成原理,1.0
N03018,N03002,part_of,计算机组成原理,1.0
N03019,N03002,part_of,计算机组成原理,1.0
N03020,N03002,part_of,计算机组成原理,1.0
N03021,N03002,part_of,计算机组成原理,1.0
N03022,N03002,part_of,计算机组成原理,1.0
N03023,N03002,part_of,计算机组成原理,1.0
N03024,N03002,part_of,计算机组成原理,1.0
N03025,N03002,part_of,计算机组成原理,1.0
N03026,N03002,part_of,计算机组成原理,1.0
N03027,N03002,part_of,计算机组成原理,1.0
N03028,N03002,part_of,计算机组成原理,1.0
N03029,N03002,part_of,计算机组成原理,1.0
N03030,N03002,part_of,计算机组成原理,1.0
N03031,N03002,part_of,计算机组成原理,1.0
N03032,N03002,part_of,计算机组成原理,1.0
N03033,N03002,part_of,计算机组成原理,1.0
N03034,N03002,part_of,计算机组成原理,1.0
N03035,N03002,part_of,计算机组成原理,1.0
N03036,N03002,part_of,计算机组成原理,1.0
N03037,N03002,part_of,计算机组成原理,1.0
N03038,N03002,part_of,计算机组成原理,1.0
N03039,N03002,part_of,计算机组成原理,1.0
N03040,N03002,part_of,计算机组成原理,1.0
N03041,N03002,part_of,计算机组成原理,1.0
N03042,N03002,part_of,计算机组成原理,1.0
N03043,N03002,part_of,计算机组成原理,1.0
N03044,N03002,part_of,计算机组成原理,1.0
N03045,N03002,part_of,计算机组成原理,1.0
N03046,N03002,part_of,计算机组成原理,1.0
N03047,N03002,part_of,计算机组成原理,1.0
N03048,N03002,part_of,计算机组成原理,1.0
N03049,N03002,part_of,计算机组成原理,1.0
N03050,N03002,part_of,计算机组成原理,1.0
N03051,N03002,part_of,计算机组成原理,1.0
N03052,N03002,part_of,计算机组成原理,1.0
N03053,N03002,part_of,计算机组成原理,1.0
N03054,N03002,part_of,计算机组成原理,1.0
N03055,N03002,part_of,计算机组成原理,1.0
N03056,N03002,part_of,计算机组成原理,1.0
N03057,N03002,part_of,计算机组成原理,1.0
N03058,N03002,part_of,计算机组成原理,1.0
N03059,N03002,part_of,计算机组成原理,1.0
N03060,N03002,part_of,计算机组成原理,1.0
N03061,N03002,part_of,计算机组成原理,1.0
N03062,N03002,part_of,计算机组成原理,1.0
N03063,N03002,part_of,计算机组成原理,1.0
N03064,N03002,part_of,计算机组成原理,1.0
N03065,N03002,part_of,计算机组成原理,1.0
N03066,N03002,part_of,计算机组成原理,1.0
N03067,N03002,part_of,计算机组成原理,1.0
N03068,N03002,part_of,计算机组成原理,1.0
N03069,N03002,part_of,计算机组成原理,1.0
N03070,N03002,part_of,计算机组成原理,1.0
N03071,N03002,part_of,计算机组成原理,1.0
N03072,N03002,part_of,计算机组成原理,1.0
N03073,N03002,part_of,计算机组成原理,1.0
N03074,N03002,part_of,计算机组成原理,1.0
N03075,N03002,part_of,计算机组成原理,1.0
N03076,N03002,part_of,计算机组成原理,1.0
N03077,N03002,part_of,计算机组成原理,1.0
N03078,N03002,part_of,计算机组成原理,1.0
N03079,N03002,part_of,计算机组成原理,1.0
N03080,N03002,part_of,计算机组成原理,1.0
N03081,N03002,part_of,计算机组成原理,1.0
N03082,N03002,part_of,计算机组成原理,1.0
N03083,N02434,part_of,计算机组成原理,1.0
N03084,N03083,part_of,计算机组成原理,1.0
N03085,N03083,part_of,计算机组成原理,1.0
N03086,N03083,part_of,计算机组成原理,1.0
N03087,N03083,part_of,计算机组成原理,1.0
N03088,N03083,part_of,计算机组成原理,1.0
N03089,N03083,part_of,计算机组成原理,1.0
N03090,N03083,part_of,计算机组成原理,1.0
N03091,N03083,part_of,计算机组成原理,1.0
N03092,N03083,part_of,计算机组成原理,1.0
N03093,N03083,part_of,计算机组成原理,1.0
N03094,N03083,part_of,计算机组成原理,1.0
N03095,N03083,part_of,计算机组成原理,1.0
N03096,N03083,part_of,计算机组成原理,1.0
N03097,N03083,part_of,计算机组成原理,1.0
N03098,N03083,part_of,计算机组成原理,1.0
N03099,N03083,part_of,计算机组成原理,1.0
N03100,N03083,part_of,计算机组成原理,1.0
N03101,N03083,part_of,计算机组成原理,1.0
N03102,N03083,part_of,计算机组成原理,1.0
N03103,N03083,part_of,计算机组成原理,1.0
N03104,N03083,part_of,计算机组成原理,1.0
N03105,N03083,part_of,计算机组成原理,1.0
N03106,N03083,part_of,计算机组成原理,1.0
N03107,N03083,part_of,计算机组成原理,1.0
N03108,N03083,part_of,计算机组成原理,1.0
N03109,N03083,part_of,计算机组成原理,1.0
N03110,N03083,part_of,计算机组成原理,1.0
N03111,N03083,part_of,计算机组成原理,1.0
N03112,N03083,part_of,计算机组成原理,1.0
N03113,N03083,part_of,计算机组成原理,1.0
N03114,N03083,part_of,计算机组成原理,1.0
N03115,N03083,part_of,计算机组成原理,1.0
N03116,N03083,part_of,计算机组成原理,1.0
N03117,N03083,part_of,计算机组成原理,1.0
N03118,N03083,part_of,计算机组成原理,1.0
N03119,N03083,part_of,计算机组成原理,1.0
N03120,N03083,part_of,计算机组成原理,1.0
N03121,N03083,part_of,计算机组成原理,1.0
N03122,N03083,part_of,计算机组成原理,1.0
N03123,N03083,part_of,计算机组成原理,1.0
N03124,N03083,part_of,计算机组成原理,1.0
N03125,N03083,part_of,计算机组成原理,1.0
N03126,N03083,part_of,计算机组成原理,1.0
N03127,N03083,part_of,计算机组成原理,1.0
N03128,N03083,part_of,计算机组成原理,1.0
N03129,N03083,part_of,计算机组成原理,1.0
N03130,N03083,part_of,计算机组成原理,1.0
N03131,N03083,part_of,计算机组成原理,1.0
N03132,N03083,part_of,计算机组成原理,1.0
N03133,N03083,part_of,计算机组成原理,1.0
N03134,N03083,part_of,计算机组成原理,1.0
N03135,N03083,part_of,计算机组成原理,1.0
N03136,N03083,part_of,计算机组成原理,1.0
N03137,N03083,part_of,计算机组成原理,1.0
N03138,N03083,part_of,计算机组成原理,1.0
N03139,N03083,part_of,计算机组成原理,1.0
N03140,N03083,part_of,计算机组成原理,1.0
N03141,N03083,part_of,计算机组成原理,1.0
N03142,N03083,part_of,计算机组成原理,1.0
N03143,N03083,part_of,计算机组成原理,1.0
N03144,N03083,part_of,计算机组成原理,1.0
N03145,N03083,part_of,计算机组成原理,1.0
N03146,N03083,part_of,计算机组成原理,1.0
N03147,N03083,part_of,计算机组成原理,1.0
N03148,N03083,part_of,计算机组成原理,1.0
N03149,N03083,part_of,计算机组成原理,1.0
N03150,N03083,part_of,计算机组成原理,1.0
N03151,N03083,part_of,计算机组成原理,1.0
N03152,N03083,part_of,计算机组成原理,1.0
N03153,N03083,part_of,计算机组成原理,1.0
N03154,N03083,part_of,计算机组成原理,1.0
N03155,N03083,part_of,计算机组成原理,1.0
N03156,N03083,part_of,计算机组成原理,1.0
N03157,N03083,part_of,计算机组成原理,1.0
N03158,N03083,part_of,计算机组成原理,1.0
N03159,N03083,part_of,计算机组成原理,1.0
N03160,N03083,part_of,计算机组成原理,1.0
N03161,N03083,part_of,计算机组成原理,1.0
N03162,N03083,part_of,计算机组成原理,1.0
N03163,N03083,part_of,计算机组成原理,1.0
N03164,N02434,part_of,计算机组成原理,1.0
N03165,N03164,part_of,计算机组成原理,1.0
N03166,N03164,part_of,计算机组成原理,1.0
N03167,N03164,part_of,计算机组成原理,1.0
N03168,N03164,part_of,计算机组成原理,1.0
N03169,N03164,part_of,计算机组成原理,1.0
N03170,N03164,part_of,计算机组成原理,1.0
N03171,N03164,part_of,计算机组成原理,1.0
N03172,N03164,part_of,计算机组成原理,1.0
N03173,N03164,part_of,计算机组成原理,1.0
N03174,N03164,part_of,计算机组成原理,1.0
N03175,N03164,part_of,计算机组成原理,1.0
N03176,N03164,part_of,计算机组成原理,1.0
N03177,N03164,part_of,计算机组成原理,1.0
N03178,N03164,part_of,计算机组成原理,1.0
N03179,N03164,part_of,计算机组成原理,1.0
N03180,N03164,part_of,计算机组成原理,1.0
N03181,N03164,part_of,计算机组成原理,1.0
N03182,N03164,part_of,计算机组成原理,1.0
N03183,N03164,part_of,计算机组成原理,1.0
N03184,N03164,part_of,计算机组成原理,1.0
N03185,N03164,part_of,计算机组成原理,1.0
N03186,N03164,part_of,计算机组成原理,1.0
N03187,N03164,part_of,计算机组成原理,1.0
N03188,N03164,part_of,计算机组成原理,1.0
N03189,N03164,part_of,计算机组成原理,1.0
N03190,N03164,part_of,计算机组成原理,1.0
N03191,N03164,part_of,计算机组成原理,1.0
N03192,N03164,part_of,计算机组成原理,1.0
N03193,N03164,part_of,计算机组成原理,1.0
N03194,N03164,part_of,计算机组成原理,1.0
N03195,N03164,part_of,计算机组成原理,1.0
N03196,N03164,part_of,计算机组成原理,1.0
N03197,N03164,part_of,计算机组成原理,1.0
N03198,N03164,part_of,计算机组成原理,1.0
N03199,N03164,part_of,计算机组成原理,1.0
N03200,N03164,part_of,计算机组成原理,1.0
N03201,N03164,part_of,计算机组成原理,1.0
N03202,N03164,part_of,计算机组成原理,1.0
N03203,N03164,part_of,计算机组成原理,1.0
N03204,N03164,part_of,计算机组成原理,1.0
N03205,N03164,part_of,计算机组成原理,1.0
N03206,N03164,part_of,计算机组成原理,1.0
N03207,N03164,part_of,计算机组成原理,1.0
N03208,N03164,part_of,计算机组成原理,1.0
N03209,N03164,part_of,计算机组成原理,1.0
N03210,N03164,part_of,计算机组成原理,1.0
N03211,N03164,part_of,计算机组成原理,1.0
N03212,N03164,part_of,计算机组成原理,1.0
N03213,N03164,part_of,计算机组成原理,1.0
N03214,N03164,part_of,计算机组成原理,1.0
N03215,N03164,part_of,计算机组成原理,1.0
N03216,N03164,part_of,计算机组成原理,1.0
N03217,N03164,part_of,计算机组成原理,1.0
N03218,N03164,part_of,计算机组成原理,1.0
N03219,N03164,part_of,计算机组成原理,1.0
N03220,N03164,part_of,计算机组成原理,1.0
N03221,N03164,part_of,计算机组成原理,1.0
N03222,N03164,part_of,计算机组成原理,1.0
N03223,N03164,part_of,计算机组成原理,1.0
N03224,N03164,part_of,计算机组成原理,1.0
N03225,N03164,part_of,计算机组成原理,1.0
N03226,N03164,part_of,计算机组成原理,1.0
N03227,N03164,part_of,计算机组成原理,1.0
N03228,N03164,part_of,计算机组成原理,1.0
N03229,N03164,part_of,计算机组成原理,1.0
N03230,N03164,part_of,计算机组成原理,1.0
N03231,N03164,part_of,计算机组成原理,1.0
N03232,N03164,part_of,计算机组成原理,1.0
N03233,N03164,part_of,计算机组成原理,1.0
N03234,N03164,part_of,计算机组成原理,1.0
N03235,N03164,part_of,计算机组成原理,1.0
N03236,N03164,part_of,计算机组成原理,1.0
N03237,N03164,part_of,计算机组成原理,1.0
N03238,N03164,part_of,计算机组成原理,1.0
N03239,N03164,part_of,计算机组成原理,1.0
N03240,N03164,part_of,计算机组成原理,1.0
N03241,N03164,part_of,计算机组成原理,1.0
N03242,N03164,part_of,计算机组成原理,1.0
N03243,N03164,part_of,计算机组成原理,1.0
N03244,N03164,part_of,计算机组成原理,1.0
N00003,N00004,depends_on,数据结构,0.642
N00003,N00006,evaluates,数据结构,0.938
N00004,N00005,depends_on,数据结构,0.882
N00004,N00007,depends_on,数据结构,0.614
N00005,N00006,depends_on,数据结构,0.739
N00005,N00008,is_a,数据结构,0.9
N00006,N00007,depends_on,数据结构,0.866
N00006,N00009,uses,数据结构,0.841
N00007,N00008,depends_on,数据结构,0.63
N00007,N00010,uses,数据结构,0.582
N00008,N00009,depends_on,数据结构,0.88
N00008,N00011,evaluates,数据结构,0.956
N00009,N00010,depends_on,数据结构,0.777
N00009,N00012,uses,数据结构,0.655
N00010,N00011,depends_on,数据结构,0.675
N00010,N00013,compared_with,数据结构,0.895
N00011,N00012,depends_on,数据结构,0.868
N00011,N00014,optimized_by,数据结构,0.603
N00012,N00013,depends_on,数据结构,0.624
N00012,N00015,part_of,数据结构,0.749
N00013,N00014,depends_on,数据结构,0.938
N00013,N00016,implemented_by,数据结构,0.659
N00014,N00015,depends_on,数据结构,0.771
N00014,N00017,is_a,数据结构,0.591
N00015,N00016,depends_on,数据结构,0.617
N00015,N00018,depends_on,数据结构,0.966
N00016,N00017,depends_on,数据结构,0.871
N00016,N00019,depends_on,数据结构,0.976
N00017,N00018,depends_on,数据结构,0.721
N00017,N00020,evaluates,数据结构,0.891
N00018,N00019,depends_on,数据结构,0.753
N00018,N00021,compared_with,数据结构,0.585
N00019,N00020,depends_on,数据结构,0.932
N00019,N00022,implemented_by,数据结构,0.696
N00020,N00021,depends_on,数据结构,0.808
N00020,N00023,part_of,数据结构,0.916
N00021,N00022,depends_on,数据结构,0.732
N00021,N00024,depends_on,数据结构,0.567
N00022,N00023,depends_on,数据结构,0.82
N00022,N00025,implemented_by,数据结构,0.553
N00023,N00024,depends_on,数据结构,0.747
N00023,N00026,optimized_by,数据结构,0.978
N00024,N00025,depends_on,数据结构,0.67
N00024,N00027,uses,数据结构,0.865
N00025,N00026,depends_on,数据结构,0.794
N00025,N00028,uses,数据结构,0.87
N00026,N00027,depends_on,数据结构,0.932
N00026,N00029,optimized_by,数据结构,0.758
N00027,N00028,depends_on,数据结构,0.936
N00027,N00030,depends_on,数据结构,0.689
N00028,N00029,depends_on,数据结构,0.79
N00028,N00031,optimized_by,数据结构,0.815
N00029,N00030,depends_on,数据结构,0.711
N00029,N00032,depends_on,数据结构,0.785
N00030,N00031,depends_on,数据结构,0.782
N00030,N00033,depends_on,数据结构,0.783
N00031,N00032,depends_on,数据结构,0.644
N00031,N00034,compared_with,数据结构,0.821
N00032,N00033,depends_on,数据结构,0.692
N00032,N00035,implemented_by,数据结构,0.905
N00033,N00034,depends_on,数据结构,0.69
N00033,N00036,depends_on,数据结构,0.915
N00034,N00035,depends_on,数据结构,0.791
N00034,N00037,evaluates,数据结构,0.949
N00035,N00036,depends_on,数据结构,0.881
N00035,N00038,is_a,数据结构,0.852
N00036,N00037,depends_on,数据结构,0.674
N00036,N00039,compared_with,数据结构,0.788
N00037,N00038,depends_on,数据结构,0.841
N00037,N00040,evaluates,数据结构,0.919
N00038,N00039,depends_on,数据结构,0.818
N00038,N00041,optimized_by,数据结构,0.713
N00039,N00040,depends_on,数据结构,0.805
N00039,N00042,part_of,数据结构,0.766
N00040,N00041,depends_on,数据结构,0.672
N00040,N00043,is_a,数据结构,0.725
N00041,N00042,depends_on,数据结构,0.915
N00041,N00044,compared_with,数据结构,0.904
N00042,N00043,depends_on,数据结构,0.695
N00042,N00045,is_a,数据结构,0.839
N00043,N00044,depends_on,数据结构,0.667
N00043,N00046,optimized_by,数据结构,0.884
N00044,N00045,depends_on,数据结构,0.908
N00044,N00047,part_of,数据结构,0.743
N00045,N00046,depends_on,数据结构,0.831
N00045,N00048,uses,数据结构,0.814
N00046,N00047,depends_on,数据结构,0.726
N00046,N00049,compared_with,数据结构,0.733
N00047,N00048,depends_on,数据结构,0.641
N00047,N00050,implemented_by,数据结构,0.577
N00048,N00049,depends_on,数据结构,0.651
N00048,N00051,compared_with,数据结构,0.885
N00049,N00050,depends_on,数据结构,0.836
N00049,N00052,implemented_by,数据结构,0.783
N00050,N00051,depends_on,数据结构,0.858
N00050,N00053,compared_with,数据结构,0.657
N00051,N00052,depends_on,数据结构,0.834
N00051,N00054,implemented_by,数据结构,0.82
N00052,N00053,depends_on,数据结构,0.868
N00052,N00055,is_a,数据结构,0.947
N00053,N00054,depends_on,数据结构,0.725
N00053,N00056,uses,数据结构,0.728
N00054,N00055,depends_on,数据结构,0.916
N00054,N00057,optimized_by,数据结构,0.946
N00055,N00056,depends_on,数据结构,0.825
N00055,N00058,optimized_by,数据结构,0.848
N00056,N00057,depends_on,数据结构,0.773
N00056,N00059,evaluates,数据结构,0.59
N00057,N00058,depends_on,数据结构,0.645
N00057,N00060,optimized_by,数据结构,0.559
N00058,N00059,depends_on,数据结构,0.912
N00058,N00061,is_a,数据结构,0.714
N00059,N00060,depends_on,数据结构,0.774
N00059,N00062,part_of,数据结构,0.786
N00060,N00061,depends_on,数据结构,0.942
N00060,N00063,depends_on,数据结构,0.865
N00061,N00062,depends_on,数据结构,0.662
N00061,N00064,optimized_by,数据结构,0.742
N00062,N00063,depends_on,数据结构,0.869
N00062,N00065,depends_on,数据结构,0.955
N00063,N00064,depends_on,数据结构,0.949
N00063,N00066,evaluates,数据结构,0.742
N00064,N00065,depends_on,数据结构,0.806
N00064,N00067,evaluates,数据结构,0.797
N00065,N00066,depends_on,数据结构,0.676
N00065,N00068,evaluates,数据结构,0.76
N00066,N00067,depends_on,数据结构,0.666
N00066,N00069,implemented_by,数据结构,0.677
N00067,N00068,depends_on,数据结构,0.895
N00067,N00070,compared_with,数据结构,0.904
N00068,N00069,depends_on,数据结构,0.727
N00068,N00071,implemented_by,数据结构,0.871
N00069,N00070,depends_on,数据结构,0.703
N00069,N00072,implemented_by,数据结构,0.653
N00070,N00071,depends_on,数据结构,0.603
N00070,N00073,depends_on,数据结构,0.981
N00071,N00072,depends_on,数据结构,0.853
N00071,N00074,implemented_by,数据结构,0.874
N00072,N00073,depends_on,数据结构,0.709
N00072,N00075,compared_with,数据结构,0.743
N00073,N00074,depends_on,数据结构,0.736
N00073,N00076,compared_with,数据结构,0.809
N00074,N00075,depends_on,数据结构,0.769
N00074,N00077,part_of,数据结构,0.604
N00075,N00076,depends_on,数据结构,0.844
N00075,N00078,evaluates,数据结构,0.847
N00076,N00077,depends_on,数据结构,0.603
N00076,N00079,part_of,数据结构,0.616
N00077,N00078,depends_on,数据结构,0.766
N00077,N00080,part_of,数据结构,0.715
N00078,N00079,depends_on,数据结构,0.611
N00078,N00081,uses,数据结构,0.782
N00079,N00080,depends_on,数据结构,0.744
N00079,N00082,compared_with,数据结构,0.67
N00080,N00081,depends_on,数据结构,0.848
N00081,N00082,depends_on,数据结构,0.909
N00084,N00085,depends_on,数据结构,0.675
N00084,N00087,depends_on,数据结构,0.967
N00085,N00086,depends_on,数据结构,0.67
N00085,N00088,optimized_by,数据结构,0.944
N00086,N00087,depends_on,数据结构,0.706
N00086,N00089,implemented_by,数据结构,0.645
N00087,N00088,depends_on,数据结构,0.663
N00087,N00090,uses,数据结构,0.78
N00088,N00089,depends_on,数据结构,0.855
N00088,N00091,implemented_by,数据结构,0.849
N00089,N00090,depends_on,数据结构,0.888
N00089,N00092,optimized_by,数据结构,0.779
N00090,N00091,depends_on,数据结构,0.944
N00090,N00093,compared_with,数据结构,0.846
N00091,N00092,depends_on,数据结构,0.841
N00091,N00094,part_of,数据结构,0.952
N00092,N00093,depends_on,数据结构,0.886
N00092,N00095,uses,数据结构,0.941
N00093,N00094,depends_on,数据结构,0.937
N00093,N00096,implemented_by,数据结构,0.809
N00094,N00095,depends_on,数据结构,0.759
N00094,N00097,optimized_by,数据结构,0.846
N00095,N00096,depends_on,数据结构,0.742
